yatstats overall rank everybody,hsid,hsname,hsname.1,location,city,regionname,nickname,alumni listed,Drafted from School,Total Draft Picks,Major Leaguers,Active Players 2024-2025
1,14385,IMG Academy,IMG Academy,"Bradenton,FL","Bradenton,FL",Florida,-,317,42,65,8,172
2,15322,Home Schooled,Home Schooled,"--,--","--,--",None,-,243,7,13,2,145
3,66,Puerto Rico Baseball Academy,Puerto Rico Baseball Academy,"Gurabo,PR","Gurabo,PR",Puerto Rico,-,262,115,133,10,92
4,16515,P27 Sports Academy,P27 Sports Academy,"Lexington,SC","Lexington,SC",South Carolina,Blacksmiths,74,5,8,0,61
5,8805,Orange Lutheran,Orange Lutheran,"Orange,CA","Orange,CA",California,Lancers,119,10,33,5,59
6,15563,TNXL Academy,TNXL Academy,"Longwood,FL","Longwood,FL",Florida,Ducks,80,10,15,0,56
7,16499,Pro5 Baseball Academy,Pro5 Baseball Academy,"Holly Springs,NC","Holly Springs,NC",North Carolina,-,69,1,5,0,53
8,14554,Carlos Beltran Baseball Academy,Carlos Beltran Baseball Academy,"Florida,PR","Florida,PR",Puerto Rico,-,83,28,31,4,51
9,1920,Capistrano Valley,Capistrano Valley,"Mission Viejo,CA","Mission Viejo,CA",California,Cougars,144,19,49,8,48
10,12546,JSerra Catholic,JSerra Catholic,"San Juan Capistrano,CA","San Juan Capistrano,CA",California,Lions,103,11,33,3,48
11,549,Jesuit,Jesuit,"Tampa,FL","Tampa,FL",Florida,Tigers,160,30,64,13,47
12,51,Huntington Beach,Huntington Beach,"Huntington Beach,CA","Huntington Beach,CA",California,Oilers,113,22,36,10,47
13,3161,Avon Old Farms Prep School.,Avon Old Farms Prep School.,"Avon Old Farms,CT","Avon Old Farms,CT",Connecticut,Beavers,112,8,22,2,47
14,15123,Leadership Christian Academy,Leadership Christian Academy,"Guaynabo,PR","Guaynabo,PR",Puerto Rico,-,65,20,21,2,47
15,1151,De La Salle,De La Salle,"Concord,CA","Concord,CA",California,Spartans,152,11,44,4,46
16,1588,Archbishop Moeller,Archbishop Moeller,"Cincinnati,OH","Cincinnati,OH",Ohio,Crusaders,153,19,43,15,45
17,4154,Damien,Damien,"La Verne,CA","La Verne,CA",California,Spartans,94,13,31,7,43
18,473,Keller,Keller,"Keller,TX","Keller,TX",Texas,Indians,103,10,22,5,43
19,1561,Southlake Carroll,Southlake Carroll,"Southlake,TX","Southlake,TX",Texas,Dragons,123,12,34,4,43
20,9,Hamilton,Hamilton,"Chandler,AZ","Chandler,AZ",Arizona,Huskies,93,19,33,4,43
21,2196,Bishop Gorman,Bishop Gorman,"Las Vegas,NV","Las Vegas,NV",Nevada,Gaels,132,30,47,12,42
22,2397,Marcus,Marcus,"Flower Mound,TX","Flower Mound,TX",Texas,Marauders,101,8,20,2,42
23,720,Notre Dame,Notre Dame,"Sherman Oaks,CA","Sherman Oaks,CA",California,Knights,118,22,50,10,41
24,3031,American Heritage,American Heritage,"Plantation,FL","Plantation,FL",Florida,Patriots,100,27,33,6,40
25,11482,Vauxhall Academy,Vauxhall Academy,"Crowsnest pass,AB","Crowsnest pass,AB",Alberta,Vikings,87,15,19,0,40
26,8141,Vacaville,Vacaville,"Vacaville,CA","Vacaville,CA",California,Bulldogs,83,7,19,4,39
27,4280,Don Bosco Prep,Don Bosco Prep,"Ramsey,NJ","Ramsey,NJ",New Jersey,Ironmen,119,11,24,3,39
28,2711,Valley Christian,Valley Christian,"San Jose,CA","San Jose,CA",California,Warriors,73,3,16,2,39
29,12675,Huntley,Huntley,"Huntley,IL","Huntley,IL",Illinois,Red Raiders,64,0,2,0,38
30,46,Junipero Serra,Junipero Serra,"San Mateo,CA","San Mateo,CA",California,Padres,170,24,64,14,37
31,544,St. John Bosco,St. John Bosco,"Bellflower,CA","Bellflower,CA",California,Braves,91,20,36,4,37
32,4636,Flower Mound,Flower Mound,"Flower Mound,TX","Flower Mound,TX",Texas,Jaguars,96,8,27,2,36
33,2489,San Marcos,San Marcos,"San Marcos,CA","San Marcos,CA",California,Knights,76,8,19,1,36
34,5065,Harvard-Westlake,Harvard-Westlake,"North Hollywood,CA","North Hollywood,CA",California,Wolverines,83,10,24,9,35
35,10306,Stoneman Douglas,Stoneman Douglas,"Parkland,FL","Parkland,FL",Florida,Eagles,94,24,36,7,35
36,237,Horizon,Horizon,"Scottsdale,AZ","Scottsdale,AZ",Arizona,Huskies,103,27,37,6,35
37,12556,Cathedral Catholic,Cathedral Catholic,"San Diego,CA","San Diego,CA",California,Dons,78,7,20,5,35
38,553,Parkview,Parkview,"Lilburn,GA","Lilburn,GA",Georgia,Panthers,106,23,36,4,35
39,1164,Iolani,Iolani,"Honolulu,HI","Honolulu,HI",Hawaii,Raiders,86,10,19,2,35
40,6228,Minooka Community,Minooka Community,"Minooka,IL","Minooka,IL",Illinois,Indians,72,4,12,2,35
41,16365,Georgia Premier Academy,Georgia Premier Academy,"Statesboro,GA","Statesboro,GA",Georgia,-,40,6,6,0,35
42,118,Servite,Servite,"Anaheim,CA","Anaheim,CA",California,Friars,129,23,40,9,34
43,1959,Trinity,Trinity,"Louisville,KY","Louisville,KY",Kentucky,Shamrocks,73,7,18,4,34
44,3822,Chaminade,Chaminade,"Mineola,NY","Mineola,NY",New York,Flyers,98,5,17,3,34
45,748,Redondo Union,Redondo Union,"Redondo Beach,CA","Redondo Beach,CA",California,Seahawks,83,17,23,3,34
46,135,St. John's College,St. John's College,"Washington,DC","Washington,DC",District of Columbia,Cadets,112,7,19,2,34
47,16006,Foothills Composite,Foothills Composite,"Okotoks,AB","Okotoks,AB",Alberta,-,43,2,8,1,34
48,14975,Calvary Christian,Calvary Christian,"Clearwater,FL","Clearwater,FL",Florida,Warriors,46,5,10,0,34
49,1363,Mater Dei,Mater Dei,"Santa Ana,CA","Santa Ana,CA",California,Monarchs,163,37,64,11,33
50,156,Walton,Walton,"Marietta,GA","Marietta,GA",Georgia,Raiders,114,20,34,10,33
51,147,Rancho Bernardo,Rancho Bernardo,"San Diego,CA","San Diego,CA",California,Broncos,108,26,49,10,33
52,77,Columbus,Columbus,"Miami,FL","Miami,FL",Florida,Explorers,171,33,64,9,33
53,2032,Jesuit,Jesuit,"Carmichael,CA","Carmichael,CA",California,Marauders,116,17,37,9,33
54,93,St. Francis,St. Francis,"Mountain View,CA","Mountain View,CA",California,Lancers,126,21,42,8,33
55,1801,Round Rock,Round Rock,"Round Rock,TX","Round Rock,TX",Texas,Dragons,106,14,30,6,33
56,1103,Seton Hall Prep,Seton Hall Prep,"West Orange,NJ","West Orange,NJ",New Jersey,Pirates,127,10,31,4,33
57,10274,Blessed Trinity Catholic,Blessed Trinity Catholic,"Roswell,GA","Roswell,GA",Georgia,Titans,71,5,12,3,33
58,5218,Homewood-Flossmoor,Homewood-Flossmoor,"Flossmoor,IL","Flossmoor,IL",Illinois,Vikings,67,5,15,3,33
59,10675,St Mary's Prep,St Mary's Prep,"Orchard Lake,MI","Orchard Lake,MI",Michigan,Eagles,60,6,12,3,33
60,496,Regis Jesuit,Regis Jesuit,"Aurora,CO","Aurora,CO",Colorado,Raiders,86,17,27,2,33
61,11354,Joliet Catholic Academy,Joliet Catholic Academy,"Joliet,IL","Joliet,IL",Illinois,Hilltoppers,75,7,19,2,33
62,840,Sandra Day O'Connor,Sandra Day O'Connor,"Glendale,AZ","Glendale,AZ",Arizona,Eagles,65,6,14,1,33
63,2749,Bergen Catholic,Bergen Catholic,"Oradell,NJ","Oradell,NJ",New Jersey,Crusaders,85,0,7,0,33
64,108,St. Thomas Aquinas,St. Thomas Aquinas,"Fort Lauderdale,FL","Fort Lauderdale,FL",Florida,Raiders,121,25,49,10,32
65,536,South Hills,South Hills,"West Covina,CA","West Covina,CA",California,Huskies,103,26,45,9,32
66,7737,St. John's Prep,St. John's Prep,"Danvers,MA","Danvers,MA",Massachusetts,Eagles,96,6,17,5,32
67,1293,Eastlake,Eastlake,"Chula Vista,CA","Chula Vista,CA",California,Titans,63,13,23,5,32
68,97,Santa Margarita Catholic,Santa Margarita Catholic,"Rancho Santa Margarita,CA","Rancho Santa Margarita,CA",California,Eagles,103,17,32,4,32
69,1189,Iona Prep,Iona Prep,"New Rochelle,NY","New Rochelle,NY",New York,Gaels,86,4,15,4,32
70,140,Buchanan,Buchanan,"Clovis,CA","Clovis,CA",California,Bears,81,9,29,4,32
71,2879,Malvern Preparatory School,Malvern Preparatory School,"Malvern,PA","Malvern,PA",Pennsylvania,Friars,101,11,19,3,32
72,5802,Lincoln-Way East,Lincoln-Way East,"Frankfort,IL","Frankfort,IL",Illinois,Griffins,75,4,6,3,32
73,9655,Basha,Basha,"Chandler,AZ","Chandler,AZ",Arizona,Bears,50,7,8,3,32
74,7042,Rancho Cucamonga,Rancho Cucamonga,"Rancho Cucamonga,CA","Rancho Cucamonga,CA",California,Cougars,51,3,12,1,32
75,9042,Pennsbury,Pennsbury,"Fairless Hills,PA","Fairless Hills,PA",Pennsylvania,Falcons,47,0,7,0,32
76,797,Los Alamitos,Los Alamitos,"Los Alamitos,CA","Los Alamitos,CA",California,Griffins,118,20,50,11,31
77,2520,Gloucester Catholic,Gloucester Catholic,"Gloucester,NJ","Gloucester,NJ",New Jersey,Rams,108,13,25,4,31
78,8143,Valencia,Valencia,"Valencia,CA","Valencia,CA",California,Vikings,87,6,26,4,31
79,11117,Lee's Summit West,Lee's Summit West,"Lee's Summit,MO","Lee's Summit,MO",Missouri,Titans,55,3,9,4,31
80,2594,Millard West,Millard West,"Omaha,NE","Omaha,NE",Nebraska,Wildcats,78,6,15,1,31
81,9021,Pinnacle,Pinnacle,"Phoenix,AZ","Phoenix,AZ",Arizona,Pioneers,65,4,7,1,31
82,1556,Lincoln-Way Central,Lincoln-Way Central,"New Lenox,IL","New Lenox,IL",Illinois,Knights,58,5,7,1,31
83,6844,Perry,Perry,"Gilbert,AZ","Gilbert,AZ",Arizona,Pumas,53,2,8,1,31
84,78,Heritage,Heritage,"Brentwood,CA","Brentwood,CA",California,Patriots,47,2,8,1,31
85,16376,Winchendon School,Winchendon School,"Winchendon,MA","Winchendon,MA",Massachusetts,Wapiti,41,1,1,0,31
86,1632,Edison,Edison,"Huntington Beach,CA","Huntington Beach,CA",California,Chargers,96,18,42,11,30
87,1787,Southington,Southington,"Southington,CT","Southington,CT",Connecticut,Blue Knights,76,9,20,6,30
88,2542,Owasso,Owasso,"Owasso,OK","Owasso,OK",Oklahoma,Rams,87,14,30,5,30
89,1981,Pope,Pope,"Marietta,GA","Marietta,GA",Georgia,Greyhounds,86,8,19,5,30
90,5623,Lake Travis,Lake Travis,"Austin,TX","Austin,TX",Texas,Cavaliers,84,7,18,5,30
91,2275,Norco,Norco,"Norco,CA","Norco,CA",California,Cougars,72,7,24,5,30
92,485,Chaminade Prep,Chaminade Prep,"West Hills,CA","West Hills,CA",California,Eagles,77,10,23,3,30
93,641,Lockport Township,Lockport Township,"Lockport,IL","Lockport,IL",Illinois,Porters,85,5,18,2,30
94,1094,La Costa Canyon,La Costa Canyon,"Carlsbad,CA","Carlsbad,CA",California,Mavericks,79,7,17,2,30
95,23,Chandler,Chandler,"Chandler,AZ","Chandler,AZ",Arizona,Wolves,73,14,25,2,30
96,4308,Downers Grove South,Downers Grove South,"Downers Grove,IL","Downers Grove,IL",Illinois,Mustangs,65,6,15,2,30
97,9211,Hebron,Hebron,"Carrollton,TX","Carrollton,TX",Texas,Hawks,44,2,6,2,30
98,2932,Carmel,Carmel,"Carmel,IN","Carmel,IN",Indiana,Greyhounds,77,5,11,1,30
99,7821,St. Peters Boys,St. Peters Boys,"Staten Island,NY","Staten Island,NY",New York,Golden Eagles,62,3,7,1,30
100,2816,Monsignor Farrell,Monsignor Farrell,"Staten Island,NY","Staten Island,NY",New York,Lions,61,3,11,1,30
101,2645,North Cobb,North Cobb,"Kennesaw,GA","Kennesaw,GA",Georgia,Warriors,60,7,11,0,30
102,9521,Doral Academy,Doral Academy,"Doral,FL","Doral,FL",Florida,Firebirds,45,5,9,0,30
103,262,Lake Brantley,Lake Brantley,"Altamonte Springs,FL","Altamonte Springs,FL",Florida,Patriots,117,22,47,9,29
104,558,St. Ignatius,St. Ignatius,"Cleveland,OH","Cleveland,OH",Ohio,Wildcats,103,7,22,8,29
105,1894,Cypress,Cypress,"Cypress,CA","Cypress,CA",California,Centurions,75,12,30,8,29
106,2097,Pearland,Pearland,"Pearland,TX","Pearland,TX",Texas,Oilers,93,8,20,7,29
107,1656,Simi Valley,Simi Valley,"Simi Valley,CA","Simi Valley,CA",California,Pioneers,87,20,37,7,29
108,1059,The Woodlands,The Woodlands,"The Woodlands,TX","The Woodlands,TX",Texas,Higlanders,118,13,31,6,29
109,1412,Mission Viejo,Mission Viejo,"Mission Viejo,CA","Mission Viejo,CA",California,Diablos,77,10,25,6,29
110,2738,Dana Hills,Dana Hills,"Dana Point,CA","Dana Point,CA",California,Dolphins,76,13,24,6,29
111,6370,Mountain Ridge,Mountain Ridge,"Glendale,AZ","Glendale,AZ",Arizona,Mountain Lions,65,9,20,5,29
112,25,Bishop Hendricken,Bishop Hendricken,"Warwick,RI","Warwick,RI",Rhode Island,Hawks,99,10,29,4,29
113,716,Brother Rice,Brother Rice,"Chicago,IL","Chicago,IL",Illinois,Crusaders,88,11,21,4,29
114,3032,American Heritage,American Heritage,"Delray Beach,FL","Delray Beach,FL",Florida,Stallions,77,8,23,4,29
115,20,Foothill,Foothill,"Pleasanton,CA","Pleasanton,CA",California,Falcons,59,5,19,4,29
116,4468,Edwardsville,Edwardsville,"Edwardsville,IL","Edwardsville,IL",Illinois,Tigers,82,3,16,3,29
117,5479,Kellenberg Memorial,Kellenberg Memorial,"Uniondale,NY","Uniondale,NY",New York,Firebirds,67,1,8,2,29
118,1454,Reagan,Reagan,"San Antonio,TX","San Antonio,TX",Texas,Rattlers,65,5,11,2,29
119,2290,Oak Ridge,Oak Ridge,"Conroe,TX","Conroe,TX",Texas,War Eagles,68,5,11,1,29
120,10523,St. Augustine Prep,St. Augustine Prep,"Richland,NJ","Richland,NJ",New Jersey,Hermits,65,3,10,0,29
121,14124,Blue Valley Southwest,Blue Valley Southwest,"Leawood,KS","Leawood,KS",Kansas,Timberwolves,46,2,6,0,29
122,17193,A3 Academy,A3 Academy,"Tampa,FL","Tampa,FL",Florida,Trojans,35,2,3,0,29
123,1472,Millikan,Millikan,"Long Beach,CA","Long Beach,CA",California,Rams,98,33,51,11,28
124,265,Westminster Christian,Westminster Christian,"Miami,FL","Miami,FL",Florida,Warriors,114,23,43,6,28
125,2566,Catholic,Catholic,"Baton Rouge,LA","Baton Rouge,LA",Louisiana,Bears,78,5,17,6,28
126,169,San Ramon Valley,San Ramon Valley,"Danville,CA","Danville,CA",California,Wolves,104,10,31,5,28
127,3410,Boston College,Boston College,"Dorchester,MA","Dorchester,MA",Massachusetts,Eagles,81,2,16,4,28
128,3998,Collierville,Collierville,"Collierville,TN","Collierville,TN",Tennessee,Dragons,73,5,15,4,28
129,12444,DeSoto Central,DeSoto Central,"Southaven,MS","Southaven,MS",Mississippi,Jaguars,46,3,12,1,28
130,13779,Legend,Legend,"Parker,CO","Parker,CO",Colorado,Titans,44,1,6,1,28
131,7498,Souderton Area,Souderton Area,"Souderton,PA","Souderton,PA",Pennsylvania,Indians,40,1,6,1,28
132,6670,O'Dea,O'Dea,"Seattle,WA","Seattle,WA",Washington,Fighting Irish,64,3,7,0,28
133,6177,Miami Christian,Miami Christian,"Miami,FL","Miami,FL",Florida,Victors,42,6,10,0,28
134,16366,International Baseball Academy,International Baseball Academy,"Ceiba,PR","Ceiba,PR",Puerto Rico,-,34,5,7,0,28
135,1514,Elk Grove,Elk Grove,"Elk Grove,CA","Elk Grove,CA",California,Herd,105,25,49,16,27
136,196,Bishop Amat,Bishop Amat,"La Puente,CA","La Puente,CA",California,Lancers,119,19,51,11,27
137,1668,Thousand Oaks,Thousand Oaks,"Thousand Oaks,CA","Thousand Oaks,CA",California,Lancers,96,14,36,10,27
138,1594,Chaparral,Chaparral,"Scottsdale,AZ","Scottsdale,AZ",Arizona,Firebirds,132,35,56,8,27
139,7761,St. Joseph Regional,St. Joseph Regional,"Montvale,NJ","Montvale,NJ",New Jersey,Green Knights,101,6,16,6,27
140,1284,Christian Brothers College,Christian Brothers College,"St. Louis,MO","St. Louis,MO",Missouri,Cadets,66,6,15,5,27
141,3498,Brophy College Prep,Brophy College Prep,"Phoenix,AZ","Phoenix,AZ",Arizona,Broncos,91,14,26,3,27
142,5973,Maranatha,Maranatha,"Pasadena,CA","Pasadena,CA",California,Minutemen,43,2,6,3,27
143,7767,St. Laurence,St. Laurence,"Burbank,IL","Burbank,IL",Illinois,Vikings,70,4,14,2,27
144,173,Lyons Township,Lyons Township,"La Grange,IL","La Grange,IL",Illinois,Lions,74,6,16,1,27
145,12579,Great Oak,Great Oak,"Temecula,CA","Temecula,CA",California,Wolfpack,56,11,16,1,27
146,9481,West Ranch,West Ranch,"Valencia,CA","Valencia,CA",California,Wildcats,49,1,8,1,27
147,2617,Massapequa,Massapequa,"Massapequa,NY","Massapequa,NY",New York,Chiefs,83,1,14,0,27
148,971,Gahr,Gahr,"Cerritos,CA","Cerritos,CA",California,Gladiators,87,22,34,10,26
149,735,Glendora,Glendora,"Glendora,CA","Glendora,CA",California,Tartans,94,20,41,8,26
150,14,Redan,Redan,"Stone Mountain,GA","Stone Mountain,GA",Georgia,Raiders,74,20,36,7,26
151,2443,El Toro,El Toro,"Lake Forest,CA","Lake Forest,CA",California,Chargers,88,15,38,5,26
152,9495,Los Osos,Los Osos,"Rancho Cucamonga,CA","Rancho Cucamonga,CA",California,Grizzlies,62,9,12,5,26
153,7660,Spruce Creek,Spruce Creek,"Port Orange,FL","Port Orange,FL",Florida,Hawks,61,2,12,4,26
154,1917,Murrieta Valley,Murrieta Valley,"Murrieta,CA","Murrieta,CA",California,Nighthawks,60,5,14,4,26
155,1803,Providence Catholic,Providence Catholic,"New Lenox,IL","New Lenox,IL",Illinois,Celtics,108,9,27,3,26
156,1283,Christian Brothers Academy,Christian Brothers Academy,"Lincroft,NJ","Lincroft,NJ",New Jersey,Colts,93,7,15,3,26
157,717,Brother Rice,Brother Rice,"Bloomfield Hills,MI","Bloomfield Hills,MI",Michigan,Warriors,77,9,16,3,26
158,7957,Temecula Valley,Temecula Valley,"Temecula,CA","Temecula,CA",California,Golden Bears,74,12,24,3,26
159,64,Reno,Reno,"Reno,NV","Reno,NV",Nevada,Huskies,73,6,17,3,26
160,1728,Santiago,Santiago,"Corona,CA","Corona,CA",California,Sharks,59,5,13,2,26
161,524,Lakeland Christian,Lakeland Christian,"Lakeland,FL","Lakeland,FL",Florida,Vikings,64,21,26,1,26
162,3048,Andrean,Andrean,"Merrillville,IN","Merrillville,IN",Indiana,Fighting 59ers,55,1,5,1,26
163,5031,Hanover,Hanover,"Mechanicsville,VA","Mechanicsville,VA",Virginia,Hawks,53,5,8,1,26
164,5425,Johnston,Johnston,"Johnston,IA","Johnston,IA",Iowa,Dragons,47,0,3,1,26
165,10919,Faith Lutheran,Faith Lutheran,"Las Vegas,NV","Las Vegas,NV",Nevada,Crusaders,46,1,5,1,26
166,90,Liberty,Liberty,"Liberty,MO","Liberty,MO",Missouri,Bluejays,45,3,13,1,26
167,9530,Norwin,Norwin,"North Huntington,PA","North Huntington,PA",Pennsylvania,Knights,45,2,6,1,26
168,14398,Ridge Point,Ridge Point,"Missouri City,TX","Missouri City,TX",Texas,Panthers,37,1,3,1,26
169,10200,Spring-Ford,Spring-Ford,"Royersford,PA","Royersford,PA",Pennsylvania,Rams,56,0,7,0,26
170,2313,Taunton,Taunton,"Taunton,MA","Taunton,MA",Massachusetts,Tigers,36,3,6,0,26
171,449,Cherry Creek,Cherry Creek,"Greenwood Village,CO","Greenwood Village,CO",Colorado,Bruins,132,26,41,9,25
172,177,Newbury Park,Newbury Park,"Newbury Park,CA","Newbury Park,CA",California,Panthers,79,19,33,8,25
173,3085,Archbishop Mitty,Archbishop Mitty,"San Jose,CA","San Jose,CA",California,Monarchs,87,8,30,7,25
174,42,Bonita,Bonita,"La Verne,CA","La Verne,CA",California,Bearcats,71,14,21,7,25
175,21,Farragut,Farragut,"Knoxville,TN","Knoxville,TN",Tennessee,Admirals,92,11,23,6,25
176,2482,Jesuit College Prep,Jesuit College Prep,"Dallas,TX","Dallas,TX",Texas,Rangers,64,7,17,6,25
177,711,Palm Beach Gardens,Palm Beach Gardens,"Palm Beach Gardens,FL","Palm Beach Gardens,FL",Florida,Gators,83,13,26,5,25
178,1546,Mira Costa,Mira Costa,"Manhattan Beach,CA","Manhattan Beach,CA",California,Mustangs,81,7,19,4,25
179,1945,James Madison,James Madison,"Vienna,VA","Vienna,VA",Virginia,Warhawks,79,9,15,4,25
180,565,Los Gatos,Los Gatos,"Los Gatos,CA","Los Gatos,CA",California,Wildcats,75,11,28,4,25
181,2400,Cartersville,Cartersville,"Cartersville,GA","Cartersville,GA",Georgia,Purple Hurricanes,53,11,17,4,25
182,4541,Etiwanda,Etiwanda,"Rancho Cucamonga,CA","Rancho Cucamonga,CA",California,Eagles,52,11,19,4,25
183,660,Clovis West,Clovis West,"Fresno,CA","Fresno,CA",California,Golden Eagles,87,16,29,3,25
184,2291,Oak Ridge,Oak Ridge,"El Dorado Hills,CA","El Dorado Hills,CA",California,Trojans,65,5,15,2,25
185,488,Desert Mountain,Desert Mountain,"Scottsdale,AZ","Scottsdale,AZ",Arizona,Wolves,64,11,23,2,25
186,4707,Francis Howell,Francis Howell,"St. Charles,MO","St. Charles,MO",Missouri,Vikings,61,4,14,2,25
187,225,Commack,Commack,"Commack,NY","Commack,NY",New York,Cougars,60,3,6,2,25
188,9610,Atascocita,Atascocita,"Humble,TX","Humble,TX",Texas,Eagles,57,2,10,2,25
189,1439,Trumbull,Trumbull,"Trumbull,CT","Trumbull,CT",Connecticut,Eagles,57,2,6,2,25
190,9269,Tahoma,Tahoma,"Maple Valley,WA","Maple Valley,WA",Washington,Bears,55,0,9,2,25
191,2297,Broomfield,Broomfield,"Broomfield,CO","Broomfield,CO",Colorado,Eagles,48,6,10,2,25
192,12720,Deer Creek,Deer Creek,"Edmond,OK","Edmond,OK",Oklahoma,Antlers,42,2,6,2,25
193,2197,Punahou,Punahou,"Honolulu,HI","Honolulu,HI",Hawaii,Buff n' Blue,80,11,21,1,25
194,11211,St. Peter's Prep,St. Peter's Prep,"Jersey City,NJ","Jersey City,NJ",New Jersey,Marauders,53,2,7,1,25
195,6076,Monsignor McClancy,Monsignor McClancy,"Flushing,NY","Flushing,NY",New York,Crusaders,48,7,12,1,25
196,3473,Bridgton Academy,Bridgton Academy,"Bridgton,ME","Bridgton,ME",Maine,Wolverines,41,2,3,1,25
197,10319,Olathe South,Olathe South,"Olathe,KS","Olathe,KS",Kansas,Falcons,33,0,3,1,25
198,4773,Fuquay-Varina,Fuquay-Varina,"Fuquay-Varina,NC","Fuquay-Varina,NC",North Carolina,Bengals,55,3,9,0,25
199,5852,Longwood,Longwood,"Middle Island,NY","Middle Island,NY",New York,Lions,52,1,4,0,25
200,14074,Elkhorn South,Elkhorn South,"Elkhorn,NE","Elkhorn,NE",Nebraska,Storm,40,0,1,0,25
201,15474,Chanhassen,Chanhassen,"Chanhassen,MN","Chanhassen,MN",Minnesota,Storm,30,0,1,0,25
202,258,Bellarmine Prep,Bellarmine Prep,"San Jose,CA","San Jose,CA",California,Bells,136,13,47,17,24
203,2039,Hart,Hart,"Newhall,CA","Newhall,CA",California,Indians,107,20,50,13,24
204,2085,Elder,Elder,"Cincinnati,OH","Cincinnati,OH",Ohio,Panthers,73,7,16,10,24
205,1553,Lafayette,Lafayette,"Wildwood,MO","Wildwood,MO",Missouri,Lancers,84,12,28,7,24
206,7733,Saint John's,Saint John's,"Shrewsbury,MA","Shrewsbury,MA",Massachusetts,Pioneers,84,2,21,7,24
207,561,Point Loma,Point Loma,"San Diego,CA","San Diego,CA",California,Pointers,60,11,22,7,24
208,2042,Venice,Venice,"Venice,FL","Venice,FL",Florida,Indians,78,6,22,6,24
209,647,Bishop Eustace Preparatory School,Bishop Eustace Preparatory School,"Pennsauken,NJ","Pennsauken,NJ",New Jersey,Crusaders,66,6,12,6,24
210,2,St. Augustine,St. Augustine,"San Diego,CA","San Diego,CA",California,Saints,83,14,34,5,24
211,1224,St. Rita of Cascia,St. Rita of Cascia,"Chicago,IL","Chicago,IL",Illinois,Mustangs,76,13,23,5,24
212,8593,Worcester Academy,Worcester Academy,"Worcester,MA","Worcester,MA",Massachusetts,Hilltoppers,60,5,12,5,24
213,10419,North Allegheny,North Allegheny,"Wexford,PA","Wexford,PA",Pennsylvania,Tigers,74,7,17,4,24
214,3665,Casa Grande,Casa Grande,"Petaluma,CA","Petaluma,CA",California,Gauchos,54,6,20,4,24
215,1267,Glenwood,Glenwood,"Chatham,IL","Chatham,IL",Illinois,Titans,53,9,12,4,24
216,7301,San Dimas,San Dimas,"San Dimas,CA","San Dimas,CA",California,Saints,47,7,16,4,24
217,7419,Shenendehowa,Shenendehowa,"Clifton Park,NY","Clifton Park,NY",New York,Plainsmen,63,3,11,3,24
218,559,Basic Academy,Basic Academy,"Henderson,NV","Henderson,NV",Nevada,Wolves,61,15,22,3,24
219,8794,Park Vista Community,Park Vista Community,"Lake Worth,FL","Lake Worth,FL",Florida,Cobras,61,6,15,3,24
220,2718,Granada,Granada,"Livermore,CA","Livermore,CA",California,Matadors,58,2,15,3,24
221,2163,Bishop Moore,Bishop Moore,"Orlando,FL","Orlando,FL",Florida,Hornets,82,13,21,2,24
222,4918,Granite Bay,Granite Bay,"Granite Bay,CA","Granite Bay,CA",California,Grizzlies,76,6,20,2,24
223,8183,Andrew,Andrew,"Tinley Park,IL","Tinley Park,IL",Illinois,Thunderbolts,69,8,17,2,24
224,6422,Neuqua Valley,Neuqua Valley,"Naperville,IL","Naperville,IL",Illinois,Wildcats,65,3,7,2,24
225,2595,Millard South,Millard South,"Omaha,NE","Omaha,NE",Nebraska,Patriots,56,3,11,2,24
226,3164,Ayala,Ayala,"Chino Hills,CA","Chino Hills,CA",California,Bulldogs,55,7,15,2,24
227,242,Neshaminy,Neshaminy,"Langhorne,PA","Langhorne,PA",Pennsylvania,Redskins,55,8,12,2,24
228,309,Loganville,Loganville,"Loganville,GA","Loganville,GA",Georgia,Red Devils,54,4,10,2,24
229,4712,Frank W. Cox,Frank W. Cox,"Virginia Beach,VA","Virginia Beach,VA",Virginia,Falcons,50,4,11,2,24
230,5099,Hazleton Area,Hazleton Area,"Hazleton,PA","Hazleton,PA",Pennsylvania,Cougars,50,3,11,2,24
231,5269,Hunterdon Central Regional,Hunterdon Central Regional,"Flemington,NJ","Flemington,NJ",New Jersey,Red Devils,73,3,7,1,24
232,7479,Smithson Valley,Smithson Valley,"Spring Branch,TX","Spring Branch,TX",Texas,Rangers,55,6,14,1,24
233,6524,North Broward Prep,North Broward Prep,"Coconut Creek,FL","Coconut Creek,FL",Florida,Eagles,53,8,14,1,24
234,2606,Red Mountain,Red Mountain,"Mesa,AZ","Mesa,AZ",Arizona,Lions,53,7,12,1,24
235,5337,Jackson Memorial,Jackson Memorial,"Jackson,NJ","Jackson,NJ",New Jersey,Jaguars,48,2,9,1,24
236,8789,Mountain Vista,Mountain Vista,"Highlands Ranch,CO","Highlands Ranch,CO",Colorado,Golden Eagles,46,5,7,1,24
237,153,Palo Verde,Palo Verde,"Las Vegas,NV","Las Vegas,NV",Nevada,Panthers,43,0,3,1,24
238,10773,Prosper,Prosper,"Prosper,TX","Prosper,TX",Texas,Eagles,42,1,11,1,24
239,1450,Corona del Sol,Corona del Sol,"Tempe,AZ","Tempe,AZ",Arizona,Aztecs,59,7,14,0,24
