yatstats overall rank everybody,hsid,hsname,hsname.1,location,city,regionname,nickname,alumni listed,Drafted from School,Total Draft Picks,Major Leaguers,Active Players 2024-2025
2015,1974,Midland,Midland,"Midland,TX","Midland,TX",Texas,Bulldogs,41,7,13,4,9
2016,1779,St. Petersburg,St. Petersburg,"St. Petersburg,FL","St. Petersburg,FL",Florida,Green Devils,40,13,21,4,9
2017,3294,Berlin,Berlin,"Berlin,CT","Berlin,CT",Connecticut,Redcoats,39,5,14,4,9
2018,1645,Clairemont,Clairemont,"San Diego,CA","San Diego,CA",California,Chieftains,31,15,23,4,9
2019,1648,Jones County,Jones County,"Gray,GA","Gray,GA",Georgia,Greyhounds,30,12,14,4,9
2020,2622,Lexington,Lexington,"Lexington,MA","Lexington,MA",Massachusetts,Minutemen,24,4,9,4,9
2021,2369,Garfield,Garfield,"Seattle,WA","Seattle,WA",Washington,Bulldogs,18,2,8,4,9
2022,5485,Kempsville,Kempsville,"Virginia Beach,VA","Virginia Beach,VA",Virginia,Chiefs,18,3,3,4,9
2023,1717,Martin County,Martin County,"Stuart,FL","Stuart,FL",Florida,Tigers,57,18,25,3,9
2024,1950,Plano East,Plano East,"Plano,TX","Plano,TX",Texas,Panthers,54,8,14,3,9
2025,846,Arlington,Arlington,"Arlington,TX","Arlington,TX",Texas,Colts,45,11,20,3,9
2026,937,Braddock,Braddock,"Miami,FL","Miami,FL",Florida,Bulldogs,44,9,17,3,9
2027,1036,Ernest Righetti,Ernest Righetti,"Santa Maria,CA","Santa Maria,CA",California,Warriors,38,11,20,3,9
