hsid,hsname,hslocation,cityname,regionname,regionid,nickname,color1,color2,color3
11891,Calumet,"Calumet,MI",Calumet,Michigan,MI,Copper Kings,,,
11892,Fertile-Beltrami,"Fertile,MN",Fertile,Minnesota,MN,Falcons,,,
11893,Olanta,"Olanta,SC",Olanta,South Carolina,SC,-,,,
11894,Saginaw,"Saginaw,MI",Saginaw,Michigan,MI,Trojans,black,gold,
11895,Greenwood,"Greenwood,WI",Greenwood,Wisconsin,WI,Indians,,,
11896,Corleen,"Corleen,NC",Corleen,North Carolina,NC,-,-,-,
11897,Lambeth,"Lambeth,ON",Lambeth,Ontario,ON,-,-,-,
11898,Mount Savage,"Mount Savage,MD",Mount Savage,Maryland,MD,Indians,,,
11899,Arkansas Baptist,"Little Rock,AR",Little Rock,Arkansas,AR,Eagles,red,blue,
11901,Spring Garden,"Blairs,VA",Blairs,Virginia,VA,-,-,-,
11902,Duke,"Duke,OK",Duke,Oklahoma,OK,Tigers,red,white,
11903,Scioto Valley,"Scioto Valley,OH",Scioto Valley,Ohio,OH,-,,,
11904,Prosperity,"Prosperity,SC",Prosperity,South Carolina,SC,-,,,
11905,Harvey,"Harvey,IL",Harvey,Illinois,IL,-,-,-,
11906,Wethersfield,"Wethersfield,CT",Wethersfield,Connecticut,CT,Eagles,,,
11908,Bunnell,"Stratford,CT",Stratford,Connecticut,CT,Bulldogs,royalblue,silver,
11909,Paw Creek,"Paw Creek,NC",Paw Creek,North Carolina,NC,-,,,
11910,Meigs County,"Decatur,TN",Decatur,Tennessee,TN,Tigers,black,orange,
11911,Sparta,"Sparta,VA",Sparta,Virginia,VA,-,-,-,
11912,Birmingham,"Lake Balboa,CA",Lake Balboa,California,CA,Patriots,,,
11913,Decatur,"Decatur,MI",Decatur,Michigan,MI,Raiders,,,
11914,Parker,"Chicago,IL",Chicago,Illinois,IL,Colonels,,,
11915,Tech,"Atlanta,GA",Atlanta,Georgia,GA,-,,,
11916,Post,"Post,TX",Post,Texas,TX,Antelopes,black,gold,
11917,Weston,"Weston,NE",Weston,Nebraska,NE,-,,,
11918,McNally,"Edmonton,AB",Edmonton,Alberta,AB,Tigers,orange,#A52A2A,
11919,Carnesville,"Carnesville,GA",Carnesville,Georgia,GA,-,-,-,
11920,Elizabethtown,"Elizabethtown,VA",Elizabethtown,Virginia,VA,-,-,-,
11921,Alexander Hamilton,"Milwaukee,WI",Milwaukee,Wisconsin,WI,Wildcats,green,gold,
11922,Calhoun Falls,"Calhoun Falls,SC",Calhoun Falls,South Carolina,SC,-,-,-,
11923,Northhampton,"Eastville,VA",Eastville,Virginia,VA,Yellowjackets,blue,gold,
