hsid,hsname,hslocation,cityname,regionname,regionid,nickname,color1,color2,color3
1,Bullard,"Fresno,CA",Fresno,California,CA,Knights,Navy,Sky Blue,White
2,St. Augustine,"San Diego,CA",San Diego,California,CA,Saints,#4B006E,#c5b358,
3,J.H. Rose,"Greenville,NC",Greenville,North Carolina,NC,Rampants,#009A2F, #B9D9EB,White
4,Melbourne,"Melbourne,FL",Melbourne,Florida,FL,Bulldogs,Green,White,
5,Hallandale,"Hallandale Beach,FL",Hallandale Beach,Florida,FL,Chargers,Maroon,Gold,White
6,Rock Island,"Rock Island,IL",Rock Island,Illinois,IL,Rocks,Crimson,Gold,
7,Atlee,"Mechanicsville,VA",Mechanicsville,Virginia,VA,Raiders,RoyalBlue,Black,Silver
8,Apopka,"Apopka,FL",Apopka,Florida,FL,Blue Darters,Blue,White,
9,Hamilton,"Hamilton,OH",Hamilton,Ohio,OH,Big Blue,Blue,White,
10,Henry Clay,"Lexington,KY",Lexington,Kentucky,KY,Blue Devils,Blue,Gold,
11,Mission Bay,"San Diego,CA",San Diego,California,CA,Buccaneers,Black,Gold,
12,Mt. Ararat,"Topsham,ME",Topsham,Maine,ME,Eagles,Blue,White,Red
13,La Grange,"La Grange,TX",La Grange,Texas,TX,Leopards,Purple,Gold,
14,Redan,"Stone Mountain,GA",Stone Mountain,Georgia,GA,Raiders,Navy,Silver,
15,Pine-Richland,"Gibsonia,PA",Gibsonia,Pennsylvania,PA,Rams,Green,White,
16,Wolfson,"Jacksonville,FL",Jacksonville,Florida,FL,Wolfpack,Scarlet,RoyalBlue,
17,Seneca,"Seneca,MO",Seneca,Missouri,MO,Indians,Blue,white,red
18,Crespi Carmelite,"Encino,CA",Encino,California,CA,Celts,Brown,White,Gold
19,John B Connally,"Austin,TX",Austin,Texas,TX,Cougars,#006400,Black,
20,Foothill,"Santa Ana,CA",Santa Ana,California,CA,Knights,Black,Gold,White
21,Farragut,"Knoxville,TN",Knoxville,Tennessee,TN,Admirals,Navy,Gold,
22,Sikeston,"Sikeston,MO",Sikeston,Missouri,MO,Bulldogs,Black,Red,
23,Chandler,"Chandler,AZ",Chandler,Arizona,AZ,Wolves,RoyalBlue,White,
24,Monsignor Edward Pace,"Miami,FL",Miami,Florida,FL,Spartans,Red,Gold,
25,Bishop Hendricken,"Warwick,RI",Warwick,Rhode Island,RI,Hawks,Green,Gold,
26,St. Amant,"St. Amant,LA",St. Amant,Louisiana,LA,Gators,Black,Gold,
27,Trimble Technical,"Fort Worth,TX",Fort Worth,Texas,TX,Bulldogs,green,White,
28,Auburn,"Auburn,WA",Auburn,Washington,WA,Trojans,#355E3B,#CFB53B,
29,Parkview Baptist,"Baton Rouge,LA",Baton Rouge,Louisiana,LA,Eagles,Blue,White,Red
30,Nova,"Davie,FL",Davie,Florida,FL,Titans,Green,Gold,
31,Southern Door,"Brussels,WI",Brussels,Wisconsin,WI,Eagles,Columbia Blu,Red,White
32,Gibson Southern,"Fort Branch,IN",Fort Branch,Indiana,IN,Titans,Maroon,#FFD700,white
33,Chippewa Hills,"Remus,MI",Remus,Michigan,MI,Warriors,RoyalBlue,Red,White
34,Belen Jesuit Prep,"Miami,FL",Miami,Florida,FL,Wolverines,Navy,Gold,White
35,Lake Wales,"Lake Wales,FL",Lake Wales,Florida,FL,Highlanders,Orange,Black,
36,Wheeler,"Marietta,GA",Marietta,Georgia,GA,Wildcats,Blue,Gold,
37,Milton,"Milton,GA",Milton,Georgia,GA,Eagles,Red,Blue,
38,Sarasota,"Sarasota,FL",Sarasota,Florida,FL,Sailors,Orange,Black,
39,Middleton,"Tampa,FL",Tampa,Florida,FL,Tigers,Maroon,Gold,
40,Coral Park,"Miami,FL",Miami,Florida,FL,Rams,Navy,Gold,
41,Woodinville,"Woodinville,WA",Woodinville,Washington,WA,Falcons,4CBB17,White,Blue
42,Bonita,"La Verne,CA",La Verne,California,CA,Bearcats,Green,White,
43,Walnut,"Walnut,CA",Walnut,California,CA,Mustangs,Columbia Blu,Gold,
44,Gulliver Prep,"Coral Gables,FL",Coral Gables,Florida,FL,Raiders,Royal Blue,White,
45,Westchester,"Los Angeles,CA",Los Angeles,California,CA,Comets,Red,Black,
46,Junipero Serra,"San Mateo,CA",San Mateo,California,CA,Padres,RoyalBlue,Gold,
48,Foothill,"Pleasanton,CA",Pleasanton,California,CA,Falcons,Gold,Blue,
49,Lincoln,"Tallahassee,FL",Tallahassee,Florida,FL,Trojans,Green,Gold,
50,Daphne,"Daphne,AL",Daphne,Alabama,AL,Trojans,Purple,Gold,
51,Huntington Beach,"Huntington Beach,CA",Huntington Beach,California,CA,Oilers,Orange,Black,
52,Billy Ryan,"Denton,TX",Denton,Texas,TX,Raiders,Navy,Red,White
53,Ozark,"Ozark,MO",Ozark,Missouri,MO,Tigers,Red,White,
54,Mountain View,"El Monte,CA",El Monte,California,CA,Vikings,Gold,Purple,White
55,Coronado,"Scottsdale,AZ",Scottsdale,Arizona,AZ,Dons,Scarlet,Navy,
56,Clearwater Central Catholic,"Clearwater,FL",Clearwater,Florida,FL,Marauders,Scarlet,Gold,
57,Greensville County,"Emporia,VA",Emporia,Virginia,VA,Eagles,4CBB17,Gold,
58,La Cueva,"Albuquerque,NM",Albuquerque,New Mexico,NM,Bears,Blue,Gray,
59,St. Mary's,"Phoenix,AZ",Phoenix,Arizona,AZ,Knights,Green,White,
60,Reed,"Sparks,NV",Sparks,Nevada,NV,Raiders,Blue,Gold,
61,Ramon Villa Mayo,"Rio Piedras,PR",Rio Piedras,Puerto Rico,PR,-,-,-,
62,Rosemead,"Rosemead,CA",Rosemead,California,CA,Panthers,Maroon,Gray,White
63,Montgomery,"Montgomery,TX",Montgomery,Texas,TX,Bears,Purple,Gold,
64,Reno,"Reno,NV",Reno,Nevada,NV,Huskies,Red,Blue,
65,Rancho Buena Vista,"Vista,CA",Vista,California,CA,Longhorns,Maroon,Silver,
66,Puerto Rico Baseball Academy,"Gurabo,PR",Gurabo,Puerto Rico,PR,-,-,-,
67,Churchill,"Eugene,OR",Eugene,Oregon,OR,Lancers,Blue,Red,
68,Marianna,"Marianna,FL",Marianna,Florida,FL,Bulldogs,Purple,Gold,
69,Pensacola Catholic,"Pensacola,FL",Pensacola,Florida,FL,Crusaders,Green,Gold,
70,Ottawa Hills,"Grand Rapids,MI",Grand Rapids,Michigan,MI,Bengals,Orange,Black,
71,Grace Prep Academy,"Arlington,TX",Arlington,Texas,TX,Lions,Navy,Gold,White
72,Bryan,"Bryan,OH",Bryan,Ohio,OH,Golden Bears,Purple,Gold,
73,Charles Allen,"Bedford,NS",Bedford,Nova Scotia,NS,Cheetahs,Darkblue,lightblue,
74,Edouard Montpetit,"Montreal,QC",Montreal,Quebec,QC,Lynx,red,black,
75,Glascock County,"Gibson,GA",Gibson,Georgia,GA,Panthers,Black,Orange,
76,Northeast Guilford,"McLeansville,NC",McLeansville,North Carolina,NC,Rams,Navy,White,Silver
77,Columbus,"Miami,FL",Miami,Florida,FL,Explorers,Navy,White,Red
78,Heritage,"Littleton,CO",Littleton,Colorado,CO,Eagles,Scarlet,Silver,
79,Marina,"Huntington Beach,CA",Huntington Beach,California,CA,Vikings,Navy,Columbia Blu,Gold
80,Taravella,"Coral Springs,FL",Coral Springs,Florida,FL,Trojans,Navy,Gray,
81,Barbara Goleman,"Miami,FL",Miami,Florida,FL,Gators,Burgundy,Gold,White
82,Broken Arrow,"Broken Arrow,OK",Broken Arrow,Oklahoma,OK,Tigers,Black,Gold,
83,Lakewood,"Lakewood,CA",Lakewood,California,CA,Lancers,Red,White,
84,Santaluces,"Lantana,FL",Lantana,Florida,FL,Chiefs,Black,Red,
85,Brookwood,"Snellville,GA",Snellville,Georgia,GA,Broncos,Maroon,Gold,
86,Trinity Christian Academy,"Lake Worth,FL",Lake Worth,Florida,FL,Warriors,Burgundy,White,
87,Delsea Regional,"Franklinville,NJ",Franklinville,New Jersey,NJ,Crusaders,Red,White,
88,Tomball,"Tomball,TX",Tomball,Texas,TX,Cougars,Red,White,
89,El Camino Real,"Woodland Hills,CA",Woodland Hills,California,CA,Conquistadors,RoyalBlue,Gold,
90,Liberty,"Bakersfield,CA",Bakersfield,California,CA,Patriots,Navy,Red,Silver
91,Cheshire,"Cheshire,CT",Cheshire,Connecticut,CT,Rams,Red,White,
92,Escambia,"Pensacola,FL",Pensacola,Florida,FL,Gators,Orange,Blue,
93,St. Francis,"Carolina,PR",Carolina,Puerto Rico,PR,-,-,-,
94,Central,"Baton Rouge,LA",Baton Rouge,Louisiana,LA,Wildcats,Maroon,Silver,
95,Josefina Barcelo,"Guaynabo,PR",Guaynabo,Puerto Rico,PR,-,-,-,
96,Grenada,"Grenada,MS",Grenada,Mississippi,MS,Chargers,RoyalBlue,Scarlet,
97,Santa Margarita Catholic,"Rancho Santa Margarita,CA",Rancho Santa Margarita,California,CA,Eagles,Blue,Gold,
98,Perryton,"Perryton,TX",Perryton,Texas,TX,Rangers,Red,White,
99,West Vigo,"West Terre Haute,IN",West Terre Haute,Indiana,IN,Vikings,Green,White,
100,Varina,"Richmond,VA",Richmond,Virginia,VA,Blue Devils,Blue,Gold,
101,Lambrick Park,"Victoria,BC",Victoria,British Columbia,BC,Lions,Blue,White,
102,John Paul II,"North Battleford,SK",North Battleford,Saskatchewan,SK,Crusaders,darkblue,Yellow,
103,Calallen,"Corpus Christi,TX",Corpus Christi,Texas,TX,Wildcats,Maroon,White,
104,Clear Creek,"League City,TX",League City,Texas,TX,Wildcats,Maroon,Silver,White
105,Haskell,"Haskell,OK",Haskell,Oklahoma,OK,Haymakers,Blue,White,
106,Glen Ridge,"Glen Ridge,NJ",Glen Ridge,New Jersey,NJ,Ridgers,Red,White,
107,Henry County,"McDonough,GA",McDonough,Georgia,GA,Warhawks,Black,Gold,
108,St. Thomas Aquinas,"Fort Lauderdale,FL",Fort Lauderdale,Florida,FL,Raiders,Blue,Yellow,
109,Dunnellon,"Dunnellon,FL",Dunnellon,Florida,FL,Tigers,Red,Black,White
110,Lino Padron Rivera,"Vega Baja,PR",Vega Baja,Puerto Rico,PR,-,-,-,
111,Deer Valley,"Antioch,CA",Antioch,California,CA,Wolverines,Teal,Black,Silver
112,Ball,"Galveston,TX",Galveston,Texas,TX,Tornadoes,Purple,Yellow,
113,Wilson Central,"Lebanon,TN",Lebanon,Tennessee,TN,Wildcats,Blue,Gold,
114,Peabody Veterans Memorial,"Peabody,MA",Peabody,Massachusetts,MA,Tanners,Blue,White,
115,Triton,"Bourbon,IN",Bourbon,Indiana,IN,Trojans,RoyalBlue,white,
116,Newton North,"Newtonville,MA",Newtonville,Massachusetts,MA,Tigers,Black,Orange,
117,West Covina,"West Covina,CA",West Covina,California,CA,Bulldogs,Maroon,Gold,
118,Servite,"Anaheim,CA",Anaheim,California,CA,Friars,Black,White,Gold
119,Northwood,"Pittsboro,NC",Pittsboro,North Carolina,NC,Chargers,Green,Gold,
120,Williamsport,"Williamsport,MD",Williamsport,Maryland,MD,Wildcats,Blue,white,
121,Taft,"Woodland Hills,CA",Woodland Hills,California,CA,Toreadors,Red,Gold,
122,North Kitsap,"Poulsbo,WA",Poulsbo,Washington,WA,Vikings,Purple,Gold,
123,Gilbert,"Gilbert,AZ",Gilbert,Arizona,AZ,Tigers,Black,Gold,
124,Phillips Academy,"Andover,MA",Andover,Massachusetts,MA,Big Blues,Blue,White,
125,Lamar,"Houston,TX",Houston,Texas,TX,Redskins,Red,Blue,
126,Mountain Brook,"Mountain Brook,AL",Mountain Brook,Alabama,AL,Spartans,Green,Gold,
127,Malden,"Malden,MA",Malden,Massachusetts,MA,Golden Tornadoes,Blue,Gold,
128,Foy H. Moody,"Corpus Christi,TX",Corpus Christi,Texas,TX,Trojans,lightBlue,gold,
129,Columbia,"White Salmon,WA",White Salmon,Washington,WA,Bruins,Red,White,Black
130,Highlands Ranch,"Highlands Ranch,CO",Highlands Ranch,Colorado,CO,Falcons,Black,Silver,Blue
131,Beverly Hills,"Beverly Hills,CA",Beverly Hills,California,CA,Normans,Black,Orange,White
132,Douglas County,"Douglasville,GA",Douglasville,Georgia,GA,Tigers,Blue,Gold,
133,Karns,"Knoxville,TN",Knoxville,Tennessee,TN,Beavers,RoyalBlue,Gold,
134,Polyvalente Deux-Montagnes,"Deux Montagnes,QC",Deux Montagnes,Quebec,QC,Centurions,#62ACD9,white,
135,St. John's College,"Washington,DC",Washington,District of Columbia,DC,Cadets,Scarlet,Gray,
137,Northwest Whitfield,"Tunnel Hill,GA",Tunnel Hill,Georgia,GA,Bruins,Blue,Orange,
138,Madison County,"Madison,FL",Madison,Florida,FL,Cowboys,Maroon,Silver,
139,Molokai,"Hoolehua,HI",Hoolehua,Hawaii,HI,Farmers,Green,White,
140,Buchanan,"Clovis,CA",Clovis,California,CA,Bears,Red,Blue,White
141,Kickapoo,"Springfield,MO",Springfield,Missouri,MO,Chiefs,Gold,white,
142,Wylie,"Wylie,TX",Wylie,Texas,TX,Pirates,Maroon,White,Black
143,Gaston,"Gadsden,AL",Gadsden,Alabama,AL,Bulldogs,Red,White,
144,Antioch,"Antioch,CA",Antioch,California,CA,Panthers,Black,Gold,
145,Old Mill,"Millersville,MD",Millersville,Maryland,MD,Patriots,Red,White,Blue
146,Antilles,"San Juan,PR",San Juan,Puerto Rico,PR,-,-,-,
147,Rancho Bernardo,"San Diego,CA",San Diego,California,CA,Broncos,RoyalBlue,Silver,White
148,Antioch,"Antioch,TN",Antioch,Tennessee,TN,Bears,Blue,White,
149,Issaquah,"Issaquah,WA",Issaquah,Washington,WA,Indians,Purple,Gold,
150,Antioch Community,"Antioch,IL",Antioch,Illinois,IL,Sequoits,Cardinal,Gray,
151,Lamar,"Lamar,CO",Lamar,Colorado,CO,Savages,Orange,Black,
152,Johansen,"Modesto,CA",Modesto,California,CA,Vikings,Purple,White,Black
153,Palo Verde,"Tucson,AZ",Tucson,Arizona,AZ,Titans,RoyalBlue,gold,
154,Benedictine College Prep,"Richmond,VA",Richmond,Virginia,VA,Cadets,darkGreen,White,
155,Talawanda,"Oxford,OH",Oxford,Ohio,OH,Braves,Red,White,blue
156,Walton,"Marietta,GA",Marietta,Georgia,GA,Raiders,Blue,Red,
157,Noblesville,"Noblesville,IN",Noblesville,Indiana,IN,Millers,Red,Gold,
158,Nicolas Sevilla,"Toa Alta,PR",Toa Alta,Puerto Rico,PR,-,-,-,
159,Aliso Niguel,"Aliso Viejo,CA",Aliso Viejo,California,CA,Wolverines,black,teal,white
160,Kennedy,"Granada Hills,CA",Granada Hills,California,CA,Cougars,Brown,Gold,White
161,James Lick,"San Jose,CA",San Jose,California,CA,Comets,Green,White,
162,Wake Forest,"Wake Forest,NC",Wake Forest,North Carolina,NC,Cougars,Red,Blue,
163,Shaw,"Shaw,MS",Shaw,Mississippi,MS,Hawks,Green,Gold,
164,Sexton,"Lansing,MI",Lansing,Michigan,MI,Big Reds,Red,White,
165,Columbus,"Columbus,GA",Columbus,Georgia,GA,Blue Devils,Blue,Orange,
166,Royal Oak,"Covina,CA",Covina,California,CA,Ravens,Blue,Black,Silver
167,Torrance,"Torrance,CA",Torrance,California,CA,Tartars,Maroon,Gray,
168,William Penn Charter,"Philadelphia,PA",Philadelphia,Pennsylvania,PA,Quakers,Blue,Yellow,
169,San Ramon Valley,"Danville,CA",Danville,California,CA,Wolves,Green,Gold,
170,South,"Bakersfield,CA",Bakersfield,California,CA,Rebels,Blue,Gray,
171,DeMatha Catholic,"Hyattsville,MD",Hyattsville,Maryland,MD,Stags,Blue,White,Red
172,Shaler Area,"Glenshaw,PA",Glenshaw,Pennsylvania,PA,Titans,Blue,Red,
173,Lyons Township,"La Grange,IL",La Grange,Illinois,IL,Lions,RoyalBlue,Gold,
174,Plant City,"Plant City,FL",Plant City,Florida,FL,Raiders,Teal,Orange,
175,Midwest City,"Midwest City,OK",Midwest City,Oklahoma,OK,Bombers,Black,Gold,
176,Mahopac,"Mahopac,NY",Mahopac,New York,NY,Indians,Blue,Gold,
177,Newbury Park,"Newbury Park,CA",Newbury Park,California,CA,Panthers,Black,Gold,
178,Magnolia,"Anaheim,CA",Anaheim,California,CA,Sentinels,Black,Gold,
179,Oconee County,"Watkinsville,GA",Watkinsville,Georgia,GA,Warriors,Blue,White,
180,Sacred Heart-Griffin,"Springfield,IL",Springfield,Illinois,IL,Cyclones,Gold,Black,
181,Daingerfield,"Daingerfield,TX",Daingerfield,Texas,TX,Tigers,Blue,White,
182,T.C. Williams,"Alexandria,VA",Alexandria,Virginia,VA,Titans,Red,White,Blue
183,Liberty,"Renton,WA",Renton,Washington,WA,Patriots,RoyalBlue,Green,Silver
184,Lake City,"Lake City,SC",Lake City,South Carolina,SC,Panthers,RoyalBlue,Gold,White
185,Kearny,"San Diego,CA",San Diego,California,CA,Komets,Maroon,White,
186,Lincoln,"Stockton,CA",Stockton,California,CA,Trojans,Red,Gray,Black
187,La Crosse Central,"La Crosse,WI",La Crosse,Wisconsin,WI,Red Raiders,Red,Black,
188,Green Valley,"Henderson,NV",Henderson,Nevada,NV,Gators,4CBB17,RoyalBlue,Silver
189,Oakland Tech,"Oakland,CA",Oakland,California,CA,Bulldogs,Purple,Gold,
190,George Jenkins,"Lakeland,FL",Lakeland,Florida,FL,Eagles,Hunter Green,Gold,Maroon
191,Richmond,"Rockingham,NC",Rockingham,North Carolina,NC,Raiders,Green,Gold,
192,Buchholz,"Gainesville,FL",Gainesville,Florida,FL,Bobcats,Black,Gold,
193,Samuell,"Dallas,TX",Dallas,Texas,TX,Spartans,Blue,Gold,
194,Dimond,"Anchorage,AK",Anchorage,Alaska,AK,Lynx,Maroon,Gold,
195,Hogan,"Vallejo,CA",Vallejo,California,CA,Spartans,Blue,White,
196,Bishop Amat,"La Puente,CA",La Puente,California,CA,Lancers,RoyalBlue,Gold,
197,Canyon View,"Cedar City,UT",Cedar City,Utah,UT,Falcons,Gray,Black,
198,Lithia Springs,"Lithia Springs,GA",Lithia Springs,Georgia,GA,Lions,Darkgreen,yellow,
199,Dade Christian School,"Miami,FL",Miami,Florida,FL,Crusaders,Red,White,
200,McIntosh,"Peachtree City,GA",Peachtree City,Georgia,GA,Chiefs,Black,Green,
201,Stranahan,"Fort Lauderdale,FL",Fort Lauderdale,Florida,FL,Mighty Dragons,Orange,Blue,
202,Dunkirk,"Dunkirk,NY",Dunkirk,New York,NY,Marauders,Maroon,Gray,
203,Sandalwood,"Jacksonville,FL",Jacksonville,Florida,FL,Saints,Blue,Yellow,
204,Chaffey,"Ontario,CA",Ontario,California,CA,Tigers,Orange,Black,
205,Floresville,"Floresville,TX",Floresville,Texas,TX,Tigers,Maroon,White,
206,Nordhoff,"Ojai,CA",Ojai,California,CA,Rangers,Blue,Gold,
207,Octorara Area,"Atglen,PA",Atglen,Pennsylvania,PA,Braves,Scarlet,White,
208,Roosevelt,"Fresno,CA",Fresno,California,CA,Rough Riders,Green,Gold,
209,Bay,"Panama City,FL",Panama City,Florida,FL,Tornadoes,Red,White,
210,Parkway Central,"Chesterfield,MO",Chesterfield,Missouri,MO,Colts,Black,Red,
211,Parkway West,"Ballwin,MO",Ballwin,Missouri,MO,Longhorns,Red,Blue,White
212,Parkway,"Bossier City,LA",Bossier City,Louisiana,LA,Panthers,Red,White,Black
213,A&M Consolidated,"College Station,TX",College Station,Texas,TX,Tigers,Maroon,White,
214,Warren Consolidated,"Tiltonsville,OH",Tiltonsville,Ohio,OH,-,-,-,
215,Broadway,"Broadway,VA",Broadway,Virginia,VA,Gobblers,Green,White,
216,Broadneck,"Annapolis,MD",Annapolis,Maryland,MD,Bruins,Maroon,Grey,
217,South French Broad,"Asheville,NC",Asheville,North Carolina,NC,-,-,-,
218,Broadmoor,"Baton Rouge,LA",Baton Rouge,Louisiana,LA,Buccaneers,Columbia Blu,Scarlet,
219,Broad Run,"Ashburn,VA",Ashburn,Virginia,VA,Spartans,Maroon,Gold,
220,Anoka,"Anoka,MN",Anoka,Minnesota,MN,Tornadoes,Maroon,White,
221,Grossmont,"El Cajon,CA",El Cajon,California,CA,Foothillers,Blue,Gold,
222,Cedar Hill,"Cedar Hill,TX",Cedar Hill,Texas,TX,Longhorns,Red,Black,White
223,Carol City,"Miami,FL",Miami,Florida,FL,Chiefs,Black,Orange,
224,Commack South,"Commack,NY",Commack,New York,NY,-,-,-,
225,Commack,"Commack,NY",Commack,New York,NY,Cougars,Black,Gold,White
226,St. Francis Xavier,"Edmonton,AB",Edmonton,Alberta,AB,Rams,Navy,White,
227,St. Xavier,"Louisville,KY",Louisville,Kentucky,KY,Tigers,Green,Gold,
228,St. Xavier,"Cincinnati,OH",Cincinnati,Ohio,OH,Bombers,2366,White,
229,Xavier,"Cedar Rapids,IA",Cedar Rapids,Iowa,IA,Saints,Navy,Silver,
230,Xaverian,"Brooklyn,NY",Brooklyn,New York,NY,Clippers,Blue,Gold,
231,Xavier,"Middletown,CT",Middletown,Connecticut,CT,Falcons,Black,White,
232,Irvington,"Irvington,NJ",Irvington,New Jersey,NJ,Blue Knights,Blue,White,
233,Irvington,"Fremont,CA",Fremont,California,CA,Vikings,Royalblue,White,
234,Irving,"Irving,TX",Irving,Texas,TX,Tigers,Black,Gold,
235,Nimitz,"Irving,TX",Irving,Texas,TX,Vikings,Blue,Silver,White
236,Nimitz,"Houston,TX",Houston,Texas,TX,Cougars,Navy,Gold,
237,Horizon,"Scottsdale,AZ",Scottsdale,Arizona,AZ,Huskies,Green,Gold,
238,Horizon,"San Diego,CA",San Diego,California,CA,Panthers,Red,Black,
239,Archmere Academy,"Claymont,DE",Claymont,Delaware,DE,Auks,Green,White,
240,Lindsay,"Lindsay,OK",Lindsay,Oklahoma,OK,Leopards,Black,Orange,
241,Lindsay,"Lindsay,CA",Lindsay,California,CA,Cardinals,Red,Green,
242,Neshaminy,"Langhorne,PA",Langhorne,Pennsylvania,PA,Redskins,Scarlet,Blue,
243,Crestview,"Crestview,FL",Crestview,Florida,FL,Bulldogs,Red,White,
244,Crestview,"Convoy,OH",Convoy,Ohio,OH,Knights,Blue,White,Red
246,Riverdale,"Fort Myers,FL",Fort Myers,Florida,FL,Raiders,Darkred,Gold,
247,Riverdale Baptist,"Upper Marlboro,MD",Upper Marlboro,Maryland,MD,Crusaders,Blue,Gold,
248,Riverdale,"Riverdale,GA",Riverdale,Georgia,GA,Raiders,Black,White,
249,Riverdale,"Murfreesboro,TN",Murfreesboro,Tennessee,TN,Warriors,Cardinal,Gold,
250,Arcadia,"Arcadia,CA",Arcadia,California,CA,Apaches,Maroon,Gold,
251,Arcadia,"Phoenix,AZ",Phoenix,Arizona,AZ,Titans,Scarlet,RoyalBlue,
252,Arcadia Valley,"Ironton,MO",Ironton,Missouri,MO,Tigers,Black,Gold,
253,Greece Arcadia,"Rochester,NY",Rochester,New York,NY,Titans,Maroon,White,
254,Palos Verdes,"Palos Verdes Estates,CA",Palos Verdes Estates,California,CA,Sea Kings,Red,Black,White
255,Dos Palos,"Dos Palos,CA",Dos Palos,California,CA,Broncos,Gold,RoyalBlue,
256,Doss,"Louisville,KY",Louisville,Kentucky,KY,Dragons,Burgundy,Gold,
257,Bellaire,"Bellaire,TX",Bellaire,Texas,TX,Cardinals,Red,White,
258,Bellarmine Prep,"Tacoma,WA",Tacoma,Washington,WA,Lions,Blue,White,
259,Bella Vista,"Fair Oaks,CA",Fair Oaks,California,CA,Broncos,Red,White,Black
260,Bellarmine Prep,"San Jose,CA",San Jose,California,CA,Bells,Blue,white,
261,Bellaire,"Bellaire,OH",Bellaire,Ohio,OH,Big Reds,Red,Black,
262,Lake Brantley,"Altamonte Springs,FL",Altamonte Springs,Florida,FL,Patriots,Red,Blue,White
263,El Sobrante Christian,"El Sobrante,CA",El Sobrante,California,CA,Eagles,Blue,Gold,
264,Westminster,"Atlanta,GA",Atlanta,Georgia,GA,Wildcats,Green,White,
265,Westminster Christian,"Miami,FL",Miami,Florida,FL,Warriors,Royalblue,White,
266,Westmoore,"Oklahoma City,OK",Oklahoma City,Oklahoma,OK,Jaguars,Black,Red,
267,Westmont,"Campbell,CA",Campbell,California,CA,Warriors,Black,Red,White
268,New Westminster,"New Westminster,BC",New Westminster,British Columbia,BC,Hyacks,Black,Orange,
269,Westminster Academy,"Fort Lauderdale,FL",Fort Lauderdale,Florida,FL,Lions,Red,Blue,White
270,Westminster,"Westminster,CA",Westminster,California,CA,Lions,Red,Black,White
271,Westmont Hilltop,"Johnstown,PA",Johnstown,Pennsylvania,PA,Hilltoppers,Scarlet,Gray,
272,Westmoor,"Daly City,CA",Daly City,California,CA,Rams,Green,white,
273,Westminster,"Wesminster,MD",Wesminster,Maryland,MD,Owls,Blue,White,
274,Westmont,"Westmont,IL",Westmont,Illinois,IL,Sentinels,Burgundy,Gold,
275,Greenfield,"Greenfield,MA",Greenfield,Massachusetts,MA,Green Wave,Green,White,
276,Greenfield-Central,"Greenfield,IN",Greenfield,Indiana,IN,Cougars,Royalblue,Gold,
277,Joplin,"Joplin,MO",Joplin,Missouri,MO,Eagles,Red,Silver,
278,Minden,"Minden,LA",Minden,Louisiana,LA,Crimson Tide,Crimson,White,
279,Springfield Tech,"Springfield,MA",Springfield,Massachusetts,MA,-,-,-,
280,North Shore,"Houston,TX",Houston,Texas,TX,Mustangs,Scarlet,White,
281,Sweet Home,"Sweet Home,OR",Sweet Home,Oregon,OR,Huskies,Green,Gold,
282,Jasper,"Jasper,IN",Jasper,Indiana,IN,Wildcats,Black,Gold,
283,Valmeyer,"Valmeyer,IL",Valmeyer,Illinois,IL,Pirates,Purple,Gold,
284,Vigor,"Prichard,AL",Prichard,Alabama,AL,Wolves,Green,white,
285,Stuart,"Stuart,OK",Stuart,Oklahoma,OK,Hornets,Green,Gold,
286,Norte Vista,"Riverside,CA",Riverside,California,CA,Braves,Red,White,Black
287,Thunderbird,"Phoenix,AZ",Phoenix,Arizona,AZ,Chiefs,RoyalBlue,Orange,
289,Hibbing,"Hibbing,MN",Hibbing,Minnesota,MN,Bluejackets,Navy,White,
290,Del Campo,"Fair Oaks,CA",Fair Oaks,California,CA,Cougars,Blue,Gold,
291,Osceola,"Kissimmee,FL",Kissimmee,Florida,FL,Kowboys,Blue,Gold,
292,Osceola,"Seminole,FL",Seminole,Florida,FL,Warriors,RoyalBlue,Orange,
293,Philipsburg-Osceola,"Philipsburg,PA",Philipsburg,Pennsylvania,PA,Mountaineers,Blue,White,
294,Rolling Hills,"Palos Verdes,CA",Palos Verdes,California,CA,-,-,-,
295,Allen Academy,"Bryan,TX",Bryan,Texas,TX,Rams,RoyalBlue,Gold,
296,Escuela Superior Catholica,"Bayamon,PR",Bayamon,Puerto Rico,PR,-,-,-,
297,Conway,"Conway,SC",Conway,South Carolina,SC,Tigers,228b22,Gold,
298,Conway,"Conway,AR",Conway,Arkansas,AR,Wampus Cats,Blue,White,
299,West Allis Central,"West Allis,WI",West Allis,Wisconsin,WI,Bulldogs,Maroon,Gold,
300,San Pasqual,"Escondido,CA",Escondido,California,CA,Golden Eagles,Blue,Gold,
302,Munford,"Munford,TN",Munford,Tennessee,TN,Cougars,Red,White,
304,Homer,"Homer,MI",Homer,Michigan,MI,Trojans,Orange,Black,
305,Austin,"Austin,TX",Austin,Texas,TX,Maroons,Maroon,White,
306,Logan,"Logan,WV",Logan,West Virginia,WV,Wildcats,Gold,Blue,
307,Logansport,"Logansport,IN",Logansport,Indiana,IN,Berries,Red,White,
308,James Logan,"Union City,CA",Union City,California,CA,Colts,Black,White,Red
309,Loganville,"Loganville,GA",Loganville,Georgia,GA,Red Devils,Red,White,
311,Logan,"La Crosse,WI",La Crosse,Wisconsin,WI,Rangers,Red,White,
312,Logan County,"Russellville,KY",Russellville,Kentucky,KY,Cougars,Blue,1271FF,
